,abbreviation
SOUTHERN-CALIFORNIA,SOUTHERN-CALIFORNIA
SOUTHERN-ILLINOIS-EDWARDSVILLE,SOUTHERN-ILLINOIS-EDWARDSVILLE
SOUTHERN-ILLINOIS,SOUTHERN-ILLINOIS
SOUTHERN-METHODIST,SOUTHERN-METHODIST
SOUTHERN-MISSISSIPPI,SOUTHERN-MISSISSIPPI
SOUTHERN-UTAH,SOUTHERN-UTAH
SOUTHERN,SOUTHERN
ST-BONAVENTURE,ST-BONAVENTURE
ST-FRANCIS-NY,ST-FRANCIS-NY
ST-JOHNS-NY,ST-JOHNS-NY
ST-THOMAS-MN,ST-THOMAS-MN
STANFORD,STANFORD
STEPHEN-F-AUSTIN,STEPHEN-F-AUSTIN
STETSON,STETSON
STONY-BROOK,STONY-BROOK
SYRACUSE,SYRACUSE
TARLETON-STATE,TARLETON-STATE
TEMPLE,TEMPLE
TENNESSEE-MARTIN,TENNESSEE-MARTIN
TENNESSEE-STATE,TENNESSEE-STATE
TENNESSEE-TECH,TENNESSEE-TECH
TENNESSEE,TENNESSEE
TEXAS-AM-CORPUS-CHRISTI,TEXAS-AM-CORPUS-CHRISTI
TEXAS-AM,TEXAS-AM
TEXAS-ARLINGTON,TEXAS-ARLINGTON
TEXAS-CHRISTIAN,TEXAS-CHRISTIAN
TEXAS-EL-PASO,TEXAS-EL-PASO
TEXAS-PAN-AMERICAN,TEXAS-PAN-AMERICAN
TEXAS-SAN-ANTONIO,TEXAS-SAN-ANTONIO
TEXAS-SOUTHERN,TEXAS-SOUTHERN
TEXAS-STATE,TEXAS-STATE
TEXAS-TECH,TEXAS-TECH
TEXAS,TEXAS
TOLEDO,TOLEDO
TOWSON,TOWSON
TROY,TROY
TULANE,TULANE
TULSA,TULSA
UCLA,UCLA
UTAH-STATE,UTAH-STATE
UTAH-VALLEY,UTAH-VALLEY
UTAH,UTAH
VALPARAISO,VALPARAISO
VANDERBILT,VANDERBILT
VERMONT,VERMONT
VILLANOVA,VILLANOVA
VIRGINIA-COMMONWEALTH,VIRGINIA-COMMONWEALTH
VIRGINIA-MILITARY-INSTITUTE,VIRGINIA-MILITARY-INSTITUTE
VIRGINIA-TECH,VIRGINIA-TECH
VIRGINIA,VIRGINIA
WAGNER,WAGNER
